0;24;49;26;151;69
1;24;49;27;154;69
2;24;49;26;147;69
3;24;49;25;144;69
4;24;49;24;131;69
5;24;49;25;137;69
6;24;49;24;146;69
7;24;49;23;133;69
8;24;49;24;135;69
9;24;49;23;126;69
10;24;49;23;128;69
11;24;49;22;127;69
12;24;49;22;117;69
13;24;49;22;114;69
14;24;49;21;112;69
15;24;49;21;116;69
16;24;49;21;115;69
17;24;49;22;113;69
18;24;49;21;115;69
19;24;49;20;112;69
20;24;49;20;106;69
21;24;49.333;20;105;69
22;24;49.333;20;105;69
23;24;49.8;18;96;69
24;24;50;20;104;69
25;24;50;18;91;69
26;24;50;19;103;69
